u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,length,geometry,bearing,layer_height,stroke_group,edge_interior_angle
2487786197,314318424,0,211634375,True,2,,Josefstädter Straße,tertiary,50,137.86499999999998,"LINESTRING (16.3422031 48.2108117, 16.3428309 48.2107516, 16.3436493 48.2106577, 16.3437795 48.2106434, 16.3438384 48.210637, 16.3439333 48.2106241, 16.3440363 48.2106039)",99.7,height 1,48,"{(33144360, 2487786197, 0): 85.55499999999999, (314318424, 25267608, 0): 59.084999999999994, (2250807664, 314318424, 0): 179.43, (2487786197, 237990840, 0): 100.78299999999999, (2487955438, 2487786197, 0): 179.088, (3710788341, 314318424, 0): 121.399}"
2487955438,33144355,0,4996515,True,,,Blindengasse,residential,30,95.63499999999999,"LINESTRING (16.3404555 48.2110004, 16.3404703 48.2110662, 16.3406847 48.211773, 16.3407063 48.211844)",11.2,height 2,61,"{(33144355, 33079211, 0): 75.451, (33144355, 33144292, 0): 177.92899999999997, (2487955438, 2385553146, 0): 177.481, (2487955438, 2487786197, 0): 83.322, (2487955438, 33079212, 0): 96.898}"
2487955438,2385553146,0,172058503,True,,,Blindengasse,residential,30,115.457,"LINESTRING (16.3404555 48.2110004, 16.3404511 48.2109842, 16.3404366 48.2109304, 16.3404274 48.2109175, 16.3403856 48.2108587, 16.3403645 48.2107729, 16.3403418 48.2106479, 16.3403194 48.2105638, 16.340197 48.2101908, 16.3401273 48.2099883)",192.2,height 2,61,"{(33079213, 2385553146, 0): 71.246, (2385553146, 2222890667, 0): 174.486, (2487955438, 33144355, 0): 177.481, (2487955438, 2487786197, 0): 99.19699999999999, (2487955438, 33079212, 0): 80.58300000000001}"
2487955438,2487786197,0,211634375,True,2,,Josefstädter Straße,tertiary,50,131.186,"LINESTRING (16.3404555 48.2110004, 16.3405678 48.2109886, 16.3406795 48.2109769, 16.3416021 48.2108789, 16.3422031 48.2108117)",99.2,height 1,48,"{(33144360, 2487786197, 0): 97.40299999999999, (2487786197, 237990840, 0): 88.935, (2487786197, 314318424, 0): 179.088, (2487955438, 33144355, 0): 83.322, (2487955438, 2385553146, 0): 99.19699999999999, (2487955438, 33079212, 0): 179.78}"
2487955438,33079212,0,"[148729664, 211634374, 211634375]",True,2,,Josefstädter Straße,tertiary,50,70.31899999999999,"LINESTRING (16.3404555 48.2110004, 16.3399811 48.2110484, 16.3397581 48.211072, 16.3396766 48.2110806, 16.3395185 48.2111003)",279.1,height 1,48,"{(33079212, 33079211, 0): 84.815, (293268166, 33079212, 0): 90.066, (2487955438, 33144355, 0): 96.898, (2487955438, 2385553146, 0): 80.58300000000001, (2487955438, 2487786197, 0): 179.78}"
2507395450,33345328,0,5010770,True,,,Michelbeuerngasse,residential,30,8.493,"LINESTRING (16.3528206 48.2215028, 16.3528511 48.2214965, 16.3528926 48.2214879, 16.3529301 48.2214802)",107.2,height 1,106,"{(33345323, 2507395450, 0): 179.96599999999998, (33345327, 33345328, 0): 77.199, (33345328, 1370935901, 0): 112.256, (2382977342, 2507395450, 0): 76.66499999999999, (2507395450, 2507395454, 0): 102.83600000000001}"
2507395450,2507395454,0,229742508,True,1,,Spitalgasse,secondary,50,58.465,"LINESTRING (16.3528206 48.2215028, 16.3527028 48.2212444, 16.3526625 48.2211545, 16.3525928 48.2209994)",196.8,height 2,7,"{(33345323, 2507395450, 0): 77.198, (33345327, 2507395454, 0): 77.111, (2382977342, 2507395450, 0): 179.501, (2507395450, 33345328, 0): 102.83600000000001, (2507395454, 33345324, 0): 102.883, (2507395454, 2507395459, 0): 179.916}"
2507395454,33345324,0,5010773,True,,,Tendlergasse,residential,30,130.697,"LINESTRING (16.3525928 48.2209994, 16.3509032 48.2213375)",286.7,height 1,107,"{(33345323, 33345324, 0): 75.455, (33345324, 2507395459, 0): 103.489, (33345324, 33345335, 0): 179.043, (33345327, 2507395454, 0): 179.994, (2507395450, 2507395454, 0): 102.883, (2507395454, 2507395459, 0): 77.20100000000001}"
2507395454,2507395459,0,229742508,True,1,,Spitalgasse,secondary,50,60.373000000000005,"LINESTRING (16.3525928 48.2209994, 16.3525274 48.2208533, 16.3524708 48.220727, 16.352355 48.2204801)",197.0,height 2,7,"{(33345324, 2507395459, 0): 103.398, (33345327, 2507395454, 0): 102.80499999999999, (2507395450, 2507395454, 0): 179.916, (2507395454, 33345324, 0): 77.20100000000001, (2507395459, 33345326, 0): 76.63000000000001, (2507395459, 378721, 0): 178.594}"
2507395459,33345326,0,5010775,True,,,Gießergasse,residential,30,9.326,"LINESTRING (16.352355 48.2204801, 16.3523944 48.2204719, 16.352435 48.2204635, 16.3524752 48.2204552)",107.3,height 1,42,"{(33182088, 33345326, 0): 77.339, (33345324, 2507395459, 0): 179.97199999999998, (33345326, 33345327, 0): 101.52000000000001, (2507395454, 2507395459, 0): 76.63000000000001, (2507395459, 378721, 0): 101.964}"
